CF_age band,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Age,Education,Employee Count
35 - 44,R&D,Other,53,Male,Laboratory Technician,Divorced,35,Associates Degree,1
25 - 34,R&D,Life Sciences,54,Female,Laboratory Technician,Divorced,27,Master's Degree,1
25 - 34,R&D,Life Sciences,55,Male,Laboratory Technician,Single,26,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,56,Male,Sales Executive,Single,27,Bachelor's Degree,1
25 - 34,R&D,Medical,57,Female,Laboratory Technician,Single,30,Associates Degree,1
35 - 44,R&D,Technical Degree,58,Female,Research Director,Married,41,Bachelor's Degree,1
25 - 34,Sales,Marketing,60,Male,Sales Executive,Single,34,Master's Degree,1
35 - 44,R&D,Life Sciences,61,Male,Research Scientist,Married,37,Associates Degree,1
45 - 54,Sales,Marketing,62,Male,Sales Executive,Single,46,Master's Degree,1
35 - 44,R&D,Life Sciences,63,Male,Laboratory Technician,Married,35,High School,1
45 - 54,R&D,Life Sciences,64,Male,Laboratory Technician,Single,48,Associates Degree,1
25 - 34,R&D,Technical Degree,65,Male,Laboratory Technician,Single,28,Master's Degree,1
35 - 44,Sales,Marketing,68,Female,Sales Executive,Divorced,44,Doctoral Degree,1
35 - 44,R&D,Medical,70,Male,Healthcare Representative,Married,35,Associates Degree,1
25 - 34,Sales,Marketing,72,Female,Sales Executive,Married,26,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,73,Female,Research Director,Single,33,Associates Degree,1
35 - 44,Sales,Life Sciences,74,Male,Sales Executive,Married,35,Doctoral Degree,1
35 - 44,R&D,Medical,75,Female,Laboratory Technician,Married,35,Master's Degree,1
25 - 34,R&D,Life Sciences,76,Male,Laboratory Technician,Divorced,31,Master's Degree,1
35 - 44,R&D,Life Sciences,77,Male,Manufacturing Director,Divorced,37,Master's Degree,1
25 - 34,R&D,Medical,78,Male,Manufacturing Director,Married,32,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,79,Female,Laboratory Technician,Single,38,Doctoral Degree,1
45 - 54,R&D,Medical,80,Female,Research Director,Divorced,50,Associates Degree,1
Over 55,Sales,Life Sciences,81,Female,Sales Executive,Single,59,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,83,Female,Healthcare Representative,Divorced,36,Bachelor's Degree,1
Over 55,R&D,Medical,84,Female,Manager,Divorced,55,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,85,Male,Manufacturing Director,Single,36,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,86,Male,Research Scientist,Divorced,45,Bachelor's Degree,1
35 - 44,R&D,Medical,88,Male,Research Scientist,Married,35,Bachelor's Degree,1
35 - 44,R&D,Medical,90,Male,Research Scientist,Married,36,Bachelor's Degree,1
Over 55,Sales,Life Sciences,91,Female,Sales Executive,Single,59,High School,1
25 - 34,R&D,Life Sciences,94,Male,Research Scientist,Married,29,Bachelor's Degree,1
25 - 34,R&D,Medical,95,Male,Research Scientist,Single,31,Master's Degree,1
25 - 34,R&D,Life Sciences,96,Male,Research Scientist,Married,32,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,97,Female,Laboratory Technician,Married,36,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,98,Female,Manufacturing Director,Single,31,Master's Degree,1
35 - 44,Sales,Marketing,100,Male,Sales Executive,Single,35,Master's Degree,1
45 - 54,R&D,Other,101,Male,Research Director,Married,45,Master's Degree,1
35 - 44,R&D,Medical,102,Male,Research Director,Single,37,Master's Degree,1
45 - 54,HR,Medical,103,Male,Human Resources,Divorced,46,Associates Degree,1
25 - 34,R&D,Life Sciences,104,Male,Laboratory Technician,Married,30,High School,1
35 - 44,R&D,Medical,105,Male,Research Scientist,Single,35,Bachelor's Degree,1
Over 55,Sales,Life Sciences,106,Male,Sales Executive,Married,55,Associates Degree,1
35 - 44,R&D,Medical,107,Female,Research Scientist,Divorced,38,Bachelor's Degree,1
25 - 34,R&D,Medical,110,Male,Manufacturing Director,Married,34,Associates Degree,1
Over 55,R&D,Life Sciences,112,Male,Manufacturing Director,Single,56,Bachelor's Degree,1
Under 25,Sales,Technical Degree,113,Male,Sales Representative,Divorced,23,High School,1
45 - 54,R&D,Life Sciences,116,Male,Laboratory Technician,Married,51,Master's Degree,1
25 - 34,R&D,Life Sciences,117,Male,Healthcare Representative,Married,30,Bachelor's Degree,1
45 - 54,Sales,Medical,118,Male,Sales Executive,Single,46,Associates Degree,1
35 - 44,R&D,Life Sciences,119,Male,Healthcare Representative,Married,40,Master's Degree,1
45 - 54,Sales,Marketing,120,Male,Sales Executive,Single,51,Master's Degree,1
25 - 34,Sales,Medical,121,Female,Sales Executive,Divorced,30,Associates Degree,1
45 - 54,R&D,Medical,124,Male,Healthcare Representative,Married,46,Bachelor's Degree,1
25 - 34,Sales,Medical,125,Male,Sales Executive,Single,32,Master's Degree,1
45 - 54,R&D,Technical Degree,126,Female,Research Director,Married,54,Master's Degree,1
Under 25,Sales,Other,128,Female,Sales Executive,Married,24,Associates Degree,1
25 - 34,Sales,Medical,129,Male,Sales Executive,Married,28,Bachelor's Degree,1
Over 55,Sales,Medical,131,Male,Sales Executive,Single,58,Master's Degree,1
35 - 44,R&D,Medical,132,Male,Laboratory Technician,Married,44,Bachelor's Degree,1
35 - 44,HR,Human Resources,133,Male,Human Resources,Divorced,37,Master's Degree,1
25 - 34,R&D,Life Sciences,134,Male,Research Scientist,Single,32,High School,1
Under 25,R&D,Life Sciences,137,Female,Laboratory Technician,Single,20,Bachelor's Degree,1
25 - 34,R&D,Other,138,Female,Research Scientist,Single,34,Master's Degree,1
35 - 44,R&D,Life Sciences,139,Male,Healthcare Representative,Divorced,37,Associates Degree,1
Over 55,HR,Human Resources,140,Female,Manager,Married,59,Master's Degree,1
45 - 54,R&D,Life Sciences,141,Female,Research Director,Married,50,Bachelor's Degree,1
25 - 34,Sales,Marketing,142,Male,Sales Executive,Single,25,Bachelor's Degree,1
25 - 34,R&D,Medical,143,Male,Research Scientist,Married,25,High School,1
Under 25,R&D,Medical,144,Female,Laboratory Technician,Single,22,Bachelor's Degree,1
45 - 54,R&D,Medical,145,Female,Healthcare Representative,Single,51,Master's Degree,1
25 - 34,R&D,Life Sciences,147,Male,Laboratory Technician,Single,34,Bachelor's Degree,1
45 - 54,HR,Human Resources,148,Female,Manager,Single,54,Bachelor's Degree,1
Under 25,R&D,Life Sciences,150,Male,Laboratory Technician,Married,24,High School,1
25 - 34,R&D,Life Sciences,151,Female,Research Scientist,Divorced,34,Master's Degree,1
35 - 44,Sales,Life Sciences,152,Male,Sales Executive,Single,37,Bachelor's Degree,1
25 - 34,R&D,Medical,153,Female,Manager,Single,34,Bachelor's Degree,1
35 - 44,Sales,Technical Degree,154,Female,Sales Executive,Married,36,Associates Degree,1
35 - 44,R&D,Life Sciences,155,Female,Laboratory Technician,Divorced,36,Associates Degree,1
35 - 44,Sales,Life Sciences,158,Male,Manager,Married,43,Associates Degree,1
25 - 34,R&D,Life Sciences,159,Male,Research Scientist,Divorced,30,Bachelor's Degree,1
25 - 34,Sales,Marketing,160,Male,Sales Executive,Married,33,Associates Degree,1
Over 55,R&D,Life Sciences,161,Female,Research Scientist,Married,56,Master's Degree,1
45 - 54,R&D,Life Sciences,162,Male,Research Director,Single,51,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,163,Male,Sales Executive,Married,31,Master's Degree,1
25 - 34,R&D,Other,164,Female,Research Scientist,Married,26,Bachelor's Degree,1
Over 55,R&D,Medical,165,Female,Healthcare Representative,Married,58,Master's Degree,1
Under 25,Sales,Marketing,167,Male,Sales Representative,Single,19,High School,1
Under 25,R&D,Technical Degree,169,Male,Laboratory Technician,Married,22,High School,1
45 - 54,R&D,Medical,170,Female,Manufacturing Director,Married,49,Master's Degree,1
35 - 44,R&D,Medical,171,Female,Research Scientist,Single,43,Bachelor's Degree,1
45 - 54,Sales,Marketing,174,Female,Sales Executive,Single,50,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,175,Female,Sales Executive,Married,31,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,176,Male,Sales Executive,Divorced,41,High School,1
25 - 34,HR,Life Sciences,177,Female,Human Resources,Married,26,High School,1
35 - 44,R&D,Medical,178,Male,Manufacturing Director,Divorced,36,Associates Degree,1
45 - 54,R&D,Life Sciences,179,Male,Manufacturing Director,Single,51,Master's Degree,1
35 - 44,Sales,Life Sciences,182,Female,Sales Executive,Married,39,Master's Degree,1
25 - 34,Sales,Life Sciences,183,Male,Sales Executive,Married,25,Bachelor's Degree,1
25 - 34,HR,Human Resources,184,Male,Human Resources,Married,30,Bachelor's Degree,1
25 - 34,R&D,Medical,190,Female,Laboratory Technician,Single,32,Bachelor's Degree,1
45 - 54,R&D,Medical,192,Male,Research Scientist,Single,45,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,193,Female,Research Scientist,Single,38,Doctoral Degree,1
25 - 34,R&D,Life Sciences,194,Female,Research Scientist,Single,30,Bachelor's Degree,1
25 - 34,Sales,Medical,195,Male,Sales Executive,Divorced,32,Associates Degree,1
25 - 34,R&D,Technical Degree,197,Female,Research Scientist,Divorced,30,Bachelor's Degree,1
25 - 34,R&D,Medical,198,Male,Laboratory Technician,Single,30,High School,1
35 - 44,R&D,Life Sciences,199,Male,Manager,Divorced,41,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,200,Male,Laboratory Technician,Married,41,Master's Degree,1
Under 25,R&D,Medical,201,Female,Laboratory Technician,Single,19,High School,1
35 - 44,R&D,Medical,202,Female,Research Scientist,Divorced,40,Bachelor's Degree,1
35 - 44,Sales,Marketing,204,Male,Sales Executive,Married,35,Doctoral Degree,1
45 - 54,Sales,Marketing,205,Male,Sales Representative,Married,53,Associates Degree,1
45 - 54,R&D,Life Sciences,206,Male,Laboratory Technician,Divorced,45,Bachelor's Degree,1
25 - 34,Sales,Marketing,207,Female,Sales Executive,Single,32,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,208,Male,Manufacturing Director,Married,29,High School,1
45 - 54,R&D,Medical,211,Male,Manufacturing Director,Married,51,Master's Degree,1
Over 55,R&D,Medical,214,Female,Research Scientist,Married,58,Bachelor's Degree,1
35 - 44,Sales,Marketing,215,Male,Sales Executive,Married,40,Master's Degree,1
25 - 34,Sales,Marketing,216,Female,Sales Representative,Married,34,Master's Degree,1
Under 25,R&D,Medical,217,Male,Research Scientist,Married,22,High School,1
25 - 34,R&D,Medical,218,Male,Research Scientist,Divorced,27,Bachelor's Degree,1
25 - 34,R&D,Medical,221,Male,Research Scientist,Married,28,Bachelor's Degree,1
Over 55,R&D,Life Sciences,223,Male,Healthcare Representative,Divorced,57,Associates Degree,1
25 - 34,R&D,Medical,224,Male,Research Scientist,Divorced,27,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,226,Female,Manager,Single,50,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,227,Male,Research Scientist,Divorced,41,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,228,Female,Sales Executive,Married,30,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,230,Female,Sales Executive,Single,38,Master's Degree,1
25 - 34,R&D,Life Sciences,231,Male,Research Scientist,Single,32,Doctoral Degree,1
25 - 34,R&D,Technical Degree,233,Male,Research Scientist,Married,27,Bachelor's Degree,1
Under 25,Sales,Technical Degree,235,Female,Sales Representative,Single,19,High School,1
35 - 44,R&D,Medical,238,Male,Laboratory Technician,Single,36,Associates Degree,1
25 - 34,R&D,Medical,239,Male,Laboratory Technician,Divorced,30,Bachelor's Degree,1
45 - 54,Sales,Life Sciences,240,Female,Sales Executive,Divorced,45,Associates Degree,1
Over 55,R&D,Life Sciences,241,Female,Research Scientist,Divorced,56,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,242,Male,Research Scientist,Single,33,Bachelor's Degree,1
Under 25,R&D,Life Sciences,243,Male,Laboratory Technician,Single,19,Bachelor's Degree,1
45 - 54,Sales,Marketing,244,Female,Sales Executive,Divorced,46,Associates Degree,1
35 - 44,R&D,Life Sciences,245,Female,Laboratory Technician,Single,38,Associates Degree,1
25 - 34,R&D,Medical,246,Female,Research Scientist,Married,31,High School,1
25 - 34,R&D,Medical,247,Female,Research Scientist,Single,34,Associates Degree,1
35 - 44,Sales,Marketing,248,Female,Sales Representative,Single,41,Associates Degree,1
45 - 54,R&D,Medical,249,Male,Laboratory Technician,Married,50,Bachelor's Degree,1
45 - 54,R&D,Medical,250,Female,Manufacturing Director,Divorced,53,Associates Degree,1
25 - 34,R&D,Medical,252,Female,Research Scientist,Married,33,Bachelor's Degree,1
35 - 44,R&D,Medical,253,Female,Manager,Married,40,High School,1
Over 55,R&D,Medical,254,Male,Research Director,Single,55,Master's Degree,1
25 - 34,R&D,Life Sciences,256,Male,Manufacturing Director,Married,34,High School,1
45 - 54,R&D,Medical,258,Female,Healthcare Representative,Single,51,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,259,Male,Manager,Married,52,Master's Degree,1
25 - 34,R&D,Medical,260,Female,Research Scientist,Single,27,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,261,Male,Manufacturing Director,Married,35,Associates Degree,1
35 - 44,R&D,Medical,262,Male,Research Scientist,Divorced,43,Bachelor's Degree,1
45 - 54,R&D,Medical,264,Male,Manager,Married,45,Associates Degree,1
35 - 44,R&D,Life Sciences,267,Male,Research Scientist,Married,37,Bachelor's Degree,1
35 - 44,R&D,Medical,269,Female,Laboratory Technician,Single,35,Bachelor's Degree,1
35 - 44,R&D,Medical,270,Female,Manufacturing Director,Divorced,42,Associates Degree,1
35 - 44,R&D,Life Sciences,271,Male,Manufacturing Director,Married,38,Master's Degree,1
35 - 44,R&D,Technical Degree,273,Male,Manufacturing Director,Married,38,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,274,Male,Manufacturing Director,Married,27,High School,1
45 - 54,R&D,Life Sciences,275,Male,Manufacturing Director,Divorced,49,Master's Degree,1
25 - 34,R&D,Medical,277,Male,Research Scientist,Divorced,34,Master's Degree,1
35 - 44,R&D,Medical,281,Male,Laboratory Technician,Married,40,Associates Degree,1
35 - 44,R&D,Medical,282,Male,Healthcare Representative,Married,38,High School,1
25 - 34,Sales,Marketing,283,Female,Sales Executive,Married,29,Bachelor's Degree,1
Under 25,R&D,Life Sciences,284,Male,Research Scientist,Divorced,22,Bachelor's Degree,1
35 - 44,R&D,Medical,286,Female,Laboratory Technician,Single,36,High School,1
35 - 44,R&D,Life Sciences,287,Male,Healthcare Representative,Married,40,Doctoral Degree,1
45 - 54,R&D,Medical,288,Male,Healthcare Representative,Divorced,46,Master's Degree,1
25 - 34,Sales,Medical,291,Male,Sales Executive,Married,32,Master's Degree,1
25 - 34,R&D,Life Sciences,292,Male,Manufacturing Director,Single,30,High School,1
25 - 34,Sales,Life Sciences,293,Female,Sales Executive,Single,27,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,296,Male,Research Director,Married,51,Master's Degree,1
25 - 34,R&D,Technical Degree,297,Female,Research Scientist,Single,30,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,298,Female,Manager,Single,41,Bachelor's Degree,1
25 - 34,Sales,Marketing,299,Female,Sales Executive,Single,30,Master's Degree,1
25 - 34,R&D,Technical Degree,300,Male,Research Scientist,Single,29,Bachelor's Degree,1
45 - 54,Sales,Medical,302,Female,Sales Executive,Single,45,Bachelor's Degree,1
45 - 54,Sales,Marketing,303,Female,Sales Executive,Married,54,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,304,Male,Laboratory Technician,Single,36,Associates Degree,1
25 - 34,R&D,Medical,305,Female,Research Scientist,Married,33,Master's Degree,1
35 - 44,R&D,Other,306,Male,Research Director,Divorced,37,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,307,Male,Sales Executive,Divorced,38,Bachelor's Degree,1
25 - 34,R&D,Medical,308,Male,Manufacturing Director,Married,31,Master's Degree,1
Over 55,R&D,Life Sciences,309,Male,Research Scientist,Married,59,Bachelor's Degree,1
35 - 44,Sales,Marketing,311,Male,Sales Representative,Divorced,37,Master's Degree,1
25 - 34,Sales,Medical,312,Female,Sales Executive,Married,29,High School,1
35 - 44,Sales,Marketing,314,Female,Sales Executive,Single,35,Bachelor's Degree,1
25 - 34,R&D,Medical,315,Male,Research Scientist,Single,29,High School,1
45 - 54,R&D,Life Sciences,316,Female,Laboratory Technician,Single,52,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,319,Male,Manager,Married,42,Associates Degree,1
Over 55,HR,Medical,321,Male,Human Resources,Married,59,Associates Degree,1
45 - 54,Sales,Medical,323,Female,Manager,Divorced,50,Master's Degree,1
25 - 34,R&D,Medical,325,Male,Laboratory Technician,Married,33,Bachelor's Degree,1
35 - 44,Sales,Marketing,327,Female,Manager,Married,43,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,328,Female,Laboratory Technician,Married,33,Associates Degree,1
45 - 54,Sales,Life Sciences,329,Male,Manager,Single,52,Master's Degree,1
25 - 34,Sales,Life Sciences,330,Female,Sales Representative,Married,32,Associates Degree,1
25 - 34,R&D,Life Sciences,331,Male,Laboratory Technician,Single,32,Bachelor's Degree,1
35 - 44,R&D,Medical,332,Female,Laboratory Technician,Divorced,39,Master's Degree,1
25 - 34,Sales,Marketing,333,Male,Sales Executive,Married,32,Master's Degree,1
35 - 44,R&D,Life Sciences,334,Male,Research Scientist,Divorced,41,Associates Degree,1
35 - 44,R&D,Technical Degree,335,Male,Research Scientist,Divorced,40,Associates Degree,1
45 - 54,R&D,Other,336,Male,Manager,Married,45,Bachelor's Degree,1
25 - 34,R&D,Medical,337,Male,Research Director,Divorced,31,Master's Degree,1
25 - 34,R&D,Life Sciences,338,Female,Research Scientist,Married,33,Master's Degree,1
25 - 34,R&D,Life Sciences,339,Male,Manufacturing Director,Married,34,Master's Degree,1
35 - 44,R&D,Medical,340,Female,Research Scientist,Married,37,Associates Degree,1
45 - 54,R&D,Life Sciences,341,Male,Manufacturing Director,Married,45,Master's Degree,1
35 - 44,R&D,Medical,342,Male,Manufacturing Director,Divorced,37,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,343,Female,Healthcare Representative,Single,39,Master's Degree,1
25 - 34,R&D,Life Sciences,346,Male,Research Scientist,Single,29,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,347,Female,Research Scientist,Single,42,Associates Degree,1
25 - 34,Sales,Marketing,349,Male,Sales Executive,Divorced,29,Associates Degree,1
25 - 34,R&D,Life Sciences,350,Female,Manufacturing Director,Married,25,Bachelor's Degree,1
35 - 44,R&D,Medical,351,Female,Laboratory Technician,Divorced,42,Bachelor's Degree,1
35 - 44,R&D,Medical,352,Male,Research Director,Divorced,40,Associates Degree,1
45 - 54,R&D,Life Sciences,353,Male,Research Scientist,Married,51,Bachelor's Degree,1
25 - 34,R&D,Medical,355,Male,Laboratory Technician,Single,31,Associates Degree,1
25 - 34,R&D,Life Sciences,359,Male,Laboratory Technician,Married,32,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,361,Male,Sales Executive,Married,38,Associates Degree,1
25 - 34,R&D,Technical Degree,362,Male,Laboratory Technician,Single,32,High School,1
45 - 54,Sales,Technical Degree,363,Female,Manager,Married,46,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,364,Male,Laboratory Technician,Single,28,Master's Degree,1
25 - 34,Sales,Medical,366,Male,Sales Executive,Married,29,Bachelor's Degree,1
25 - 34,R&D,Medical,367,Male,Healthcare Representative,Married,31,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,369,Male,Healthcare Representative,Divorced,25,Associates Degree,1
45 - 54,R&D,Medical,372,Male,Healthcare Representative,Married,45,Associates Degree,1
35 - 44,R&D,Life Sciences,373,Male,Laboratory Technician,Married,36,Bachelor's Degree,1
Over 55,R&D,Medical,374,Male,Manager,Single,55,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,376,Male,Manager,Married,47,Master's Degree,1
25 - 34,R&D,Medical,377,Male,Research Scientist,Married,28,Bachelor's Degree,1
35 - 44,Sales,Medical,378,Male,Sales Executive,Married,37,Master's Degree,1
Under 25,R&D,Medical,379,Male,Research Scientist,Single,21,Associates Degree,1
35 - 44,R&D,Medical,380,Female,Research Director,Divorced,37,Master's Degree,1
35 - 44,R&D,Life Sciences,381,Female,Manager,Divorced,35,Bachelor's Degree,1
35 - 44,Sales,Medical,382,Female,Sales Executive,Divorced,38,Associates Degree,1
25 - 34,R&D,Life Sciences,384,Female,Manufacturing Director,Divorced,26,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,385,Male,Research Director,Divorced,50,High School,1
45 - 54,R&D,Medical,386,Male,Research Director,Married,53,Master's Degree,1
35 - 44,Sales,Life Sciences,387,Male,Sales Executive,Married,42,High School,1
25 - 34,Sales,Life Sciences,388,Male,Sales Executive,Single,29,Associates Degree,1
Over 55,R&D,Technical Degree,389,Male,Laboratory Technician,Married,55,Associates Degree,1
25 - 34,R&D,Medical,390,Male,Healthcare Representative,Married,26,Associates Degree,1
35 - 44,R&D,Life Sciences,391,Female,Research Scientist,Single,37,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,392,Male,Laboratory Technician,Divorced,44,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,393,Male,Healthcare Representative,Divorced,38,Master's Degree,1
25 - 34,R&D,Medical,394,Male,Laboratory Technician,Divorced,26,Master's Degree,1
25 - 34,R&D,Life Sciences,395,Female,Research Scientist,Single,28,Associates Degree,1
45 - 54,R&D,Life Sciences,396,Female,Research Director,Single,49,Master's Degree,1
35 - 44,R&D,Technical Degree,397,Male,Research Scientist,Single,36,Bachelor's Degree,1
25 - 34,Sales,Marketing,399,Female,Sales Representative,Divorced,31,Bachelor's Degree,1
25 - 34,Sales,Marketing,401,Male,Sales Executive,Single,26,Master's Degree,1
35 - 44,R&D,Medical,403,Male,Research Scientist,Married,37,Bachelor's Degree,1
35 - 44,Sales,Marketing,404,Female,Sales Executive,Married,42,Bachelor's Degree,1
Under 25,R&D,Life Sciences,405,Male,Laboratory Technician,Single,18,Bachelor's Degree,1
35 - 44,Sales,Marketing,406,Male,Sales Executive,Married,35,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,407,Male,Laboratory Technician,Married,36,Master's Degree,1
45 - 54,R&D,Medical,408,Male,Manufacturing Director,Divorced,51,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,410,Male,Manager,Single,41,Master's Degree,1
Under 25,Sales,Medical,411,Female,Sales Representative,Single,18,Bachelor's Degree,1
25 - 34,R&D,Medical,412,Male,Healthcare Representative,Single,28,Associates Degree,1
25 - 34,Sales,Technical Degree,416,Male,Sales Executive,Married,31,Bachelor's Degree,1
35 - 44,R&D,Medical,417,Male,Healthcare Representative,Divorced,39,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,419,Female,Laboratory Technician,Married,36,Master's Degree,1
25 - 34,Sales,Life Sciences,420,Male,Sales Executive,Married,32,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,421,Female,Research Director,Married,38,Associates Degree,1
Over 55,R&D,Life Sciences,422,Male,Healthcare Representative,Divorced,58,Master's Degree,1
25 - 34,R&D,Technical Degree,423,Male,Research Scientist,Married,31,Master's Degree,1
25 - 34,HR,Human Resources,424,Male,Human Resources,Married,31,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,425,Male,Laboratory Technician,Divorced,45,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,426,Male,Research Scientist,Divorced,31,Master's Degree,1
25 - 34,R&D,Life Sciences,428,Female,Manager,Married,33,Master's Degree,1
35 - 44,R&D,Medical,429,Male,Manager,Married,39,High School,1
35 - 44,R&D,Life Sciences,430,Female,Laboratory Technician,Single,43,Master's Degree,1
45 - 54,R&D,Technical Degree,431,Female,Healthcare Representative,Single,49,Associates Degree,1
45 - 54,R&D,Medical,433,Male,Research Scientist,Married,52,Master's Degree,1
25 - 34,R&D,Life Sciences,434,Female,Research Scientist,Single,27,Bachelor's Degree,1
25 - 34,Sales,Technical Degree,436,Female,Sales Executive,Married,32,Associates Degree,1
25 - 34,Sales,Life Sciences,437,Male,Sales Executive,Single,27,Bachelor's Degree,1
25 - 34,Sales,Marketing,438,Male,Sales Executive,Divorced,31,Bachelor's Degree,1
