Attrition,CF_attrition label,Employee Number,Gender,Job Role,Marital Status,Monthly Income,Performance Rating,Years Since Last Promotion,Years With Curr Manager
No,Current Employees,152,Male,Sales Executive,Single,7428,3,1,3
No,Current Employees,153,Female,Manager,Single,11631,3,5,8
No,Current Employees,154,Female,Sales Executive,Married,9738,3,2,8
No,Current Employees,155,Female,Laboratory Technician,Divorced,2835,4,0,0
No,Current Employees,158,Male,Manager,Married,16959,3,4,12
No,Current Employees,159,Male,Research Scientist,Divorced,2613,4,0,9
No,Current Employees,160,Male,Sales Executive,Married,6146,3,0,7
Yes,Ex-Employees,161,Female,Research Scientist,Married,4963,3,4,3
No,Current Employees,162,Male,Research Director,Single,19537,3,15,15
Yes,Ex-Employees,163,Male,Sales Executive,Married,6172,3,7,7
No,Current Employees,164,Female,Research Scientist,Married,2368,3,4,3
Yes,Ex-Employees,165,Female,Healthcare Representative,Married,10312,3,15,6
Yes,Ex-Employees,167,Male,Sales Representative,Single,1675,3,0,0
No,Current Employees,169,Male,Laboratory Technician,Married,2523,3,2,1
No,Current Employees,170,Female,Manufacturing Director,Married,6567,3,5,11
No,Current Employees,171,Female,Research Scientist,Single,4739,3,1,2
No,Current Employees,174,Female,Sales Executive,Single,9208,3,2,1
Yes,Ex-Employees,175,Female,Sales Executive,Married,4559,3,2,2
No,Current Employees,176,Male,Sales Executive,Divorced,8189,3,0,7
No,Current Employees,177,Female,Human Resources,Married,2942,4,5,7
No,Current Employees,178,Male,Manufacturing Director,Divorced,4941,4,0,1
Yes,Ex-Employees,179,Male,Manufacturing Director,Single,10650,3,0,3
No,Current Employees,182,Female,Sales Executive,Married,5902,3,5,9
No,Current Employees,183,Male,Sales Executive,Married,8639,3,2,2
No,Current Employees,184,Male,Human Resources,Married,6347,3,4,7
Yes,Ex-Employees,190,Female,Laboratory Technician,Single,4200,4,0,4
No,Current Employees,192,Male,Research Scientist,Single,3452,3,0,3
No,Current Employees,193,Female,Research Scientist,Single,4317,4,2,2
No,Current Employees,194,Female,Research Scientist,Single,2632,3,0,4
No,Current Employees,195,Male,Sales Executive,Divorced,4668,3,0,7
No,Current Employees,197,Female,Research Scientist,Divorced,3204,3,2,2
No,Current Employees,198,Male,Laboratory Technician,Single,2720,3,1,2
No,Current Employees,199,Male,Manager,Divorced,17181,3,7,7
No,Current Employees,200,Male,Laboratory Technician,Married,2238,4,1,4
No,Current Employees,201,Female,Laboratory Technician,Single,1483,3,0,0
No,Current Employees,202,Female,Research Scientist,Divorced,5605,3,2,13
No,Current Employees,204,Male,Sales Executive,Married,7295,3,0,6
No,Current Employees,205,Male,Sales Representative,Married,2306,4,4,5
No,Current Employees,206,Male,Laboratory Technician,Divorced,2348,3,0,15
No,Current Employees,207,Female,Sales Executive,Single,8998,3,3,7
No,Current Employees,208,Male,Manufacturing Director,Married,4319,3,0,9
No,Current Employees,211,Male,Manufacturing Director,Married,6132,3,0,0
No,Current Employees,214,Female,Research Scientist,Married,3346,4,0,0
No,Current Employees,215,Male,Sales Executive,Married,10855,3,2,11
No,Current Employees,216,Female,Sales Representative,Married,2231,3,1,2
No,Current Employees,217,Male,Research Scientist,Married,2323,4,2,2
No,Current Employees,218,Male,Research Scientist,Divorced,2024,3,2,2
No,Current Employees,221,Male,Research Scientist,Married,2713,3,0,2
No,Current Employees,223,Male,Healthcare Representative,Divorced,9439,3,1,4
No,Current Employees,224,Male,Research Scientist,Divorced,2566,3,0,1
No,Current Employees,226,Female,Manager,Single,19926,3,4,4
No,Current Employees,227,Male,Research Scientist,Divorced,2451,3,1,8
No,Current Employees,228,Female,Sales Executive,Married,9419,3,7,4
No,Current Employees,230,Female,Sales Executive,Single,8686,4,0,7
No,Current Employees,231,Male,Research Scientist,Single,3038,4,1,4
No,Current Employees,233,Male,Research Scientist,Married,3058,3,1,1
Yes,Ex-Employees,235,Female,Sales Representative,Single,2325,4,0,0
No,Current Employees,238,Male,Laboratory Technician,Single,2088,3,7,2
No,Current Employees,239,Male,Laboratory Technician,Divorced,3072,3,6,10
No,Current Employees,240,Female,Sales Executive,Divorced,5006,3,0,3
No,Current Employees,241,Female,Research Scientist,Divorced,4257,3,2,2
No,Current Employees,242,Male,Research Scientist,Single,2500,3,0,2
Yes,Ex-Employees,243,Male,Laboratory Technician,Single,1102,4,1,0
No,Current Employees,244,Female,Sales Executive,Divorced,10453,4,15,7
No,Current Employees,245,Female,Laboratory Technician,Single,2288,3,2,1
No,Current Employees,246,Female,Research Scientist,Married,3929,4,0,2
No,Current Employees,247,Female,Research Scientist,Single,2311,3,1,2
Yes,Ex-Employees,248,Female,Sales Representative,Single,3140,4,0,2
No,Current Employees,249,Male,Laboratory Technician,Married,3690,3,0,2
No,Current Employees,250,Female,Manufacturing Director,Divorced,4450,3,1,3
No,Current Employees,252,Female,Research Scientist,Married,2756,3,1,6
No,Current Employees,253,Female,Manager,Married,19033,3,9,9
No,Current Employees,254,Male,Research Director,Single,18722,3,2,15
No,Current Employees,256,Male,Manufacturing Director,Married,9547,3,1,9
No,Current Employees,258,Female,Healthcare Representative,Single,13734,3,1,0
No,Current Employees,259,Male,Manager,Married,19999,3,11,9
No,Current Employees,260,Female,Research Scientist,Single,2279,3,0,3
Yes,Ex-Employees,261,Male,Manufacturing Director,Married,5916,3,0,1
No,Current Employees,262,Male,Research Scientist,Divorced,2089,3,2,2
No,Current Employees,264,Male,Manager,Married,16792,4,11,8
No,Current Employees,267,Male,Research Scientist,Married,3564,3,1,7
No,Current Employees,269,Female,Laboratory Technician,Single,4425,3,1,2
No,Current Employees,270,Female,Manufacturing Director,Divorced,5265,3,0,2
No,Current Employees,271,Male,Manufacturing Director,Married,6553,3,0,0
No,Current Employees,273,Male,Manufacturing Director,Married,6261,3,1,7
No,Current Employees,274,Male,Manufacturing Director,Married,4298,3,2,0
No,Current Employees,275,Male,Manufacturing Director,Divorced,6804,3,1,7
No,Current Employees,277,Male,Research Scientist,Divorced,3815,3,2,0
No,Current Employees,281,Male,Laboratory Technician,Married,2741,3,3,7
Yes,Ex-Employees,282,Male,Healthcare Representative,Married,6673,3,0,0
Yes,Ex-Employees,283,Female,Sales Executive,Married,7639,4,1,9
No,Current Employees,284,Male,Research Scientist,Divorced,2328,3,2,2
No,Current Employees,286,Female,Laboratory Technician,Single,2153,3,1,7
No,Current Employees,287,Male,Healthcare Representative,Married,4876,3,0,2
No,Current Employees,288,Male,Healthcare Representative,Divorced,9396,3,0,3
Yes,Ex-Employees,291,Male,Sales Executive,Married,10400,3,9,8
No,Current Employees,292,Male,Manufacturing Director,Single,8474,4,5,8
No,Current Employees,293,Female,Sales Executive,Single,9981,3,0,7
No,Current Employees,296,Male,Research Director,Married,12490,3,4,7
Yes,Ex-Employees,297,Female,Research Scientist,Single,2657,3,0,4
No,Current Employees,298,Female,Manager,Single,13591,3,0,0
Yes,Ex-Employees,299,Female,Sales Executive,Single,6696,3,0,1
Yes,Ex-Employees,300,Male,Research Scientist,Single,2058,3,1,5
No,Current Employees,302,Female,Sales Executive,Single,8865,3,12,8
No,Current Employees,303,Female,Sales Executive,Married,5940,3,0,5
No,Current Employees,304,Male,Laboratory Technician,Single,5914,3,3,7
No,Current Employees,305,Female,Research Scientist,Married,2622,4,1,1
No,Current Employees,306,Male,Research Director,Divorced,12185,3,0,7
No,Current Employees,307,Male,Sales Executive,Divorced,10609,3,5,13
No,Current Employees,308,Male,Manufacturing Director,Married,4345,3,1,4
No,Current Employees,309,Male,Research Scientist,Married,2177,3,0,0
No,Current Employees,311,Male,Sales Representative,Divorced,2793,3,5,8
No,Current Employees,312,Female,Sales Executive,Married,7918,3,4,1
No,Current Employees,314,Female,Sales Executive,Single,8789,3,0,8
Yes,Ex-Employees,315,Male,Research Scientist,Single,2389,3,0,1
No,Current Employees,316,Female,Laboratory Technician,Single,3212,3,2,2
No,Current Employees,319,Male,Manager,Married,19232,3,11,15
No,Current Employees,321,Male,Human Resources,Married,2267,3,2,2
No,Current Employees,323,Female,Manager,Divorced,19517,3,0,6
Yes,Ex-Employees,325,Male,Laboratory Technician,Married,2436,3,0,4
No,Current Employees,327,Female,Manager,Married,16064,4,1,9
Yes,Ex-Employees,328,Female,Laboratory Technician,Married,2707,4,1,7
No,Current Employees,329,Male,Manager,Single,19068,3,15,12
No,Current Employees,330,Female,Sales Representative,Married,3931,3,1,2
Yes,Ex-Employees,331,Male,Laboratory Technician,Single,3730,3,1,2
No,Current Employees,332,Female,Laboratory Technician,Divorced,2232,3,1,2
No,Current Employees,333,Male,Sales Executive,Married,4465,3,2,2
No,Current Employees,334,Male,Research Scientist,Divorced,3072,3,0,0
No,Current Employees,335,Male,Research Scientist,Divorced,3319,3,4,7
No,Current Employees,336,Male,Manager,Married,19202,3,1,7
No,Current Employees,337,Male,Research Director,Divorced,13675,3,2,2
No,Current Employees,338,Female,Research Scientist,Married,2911,3,0,2
No,Current Employees,339,Male,Manufacturing Director,Married,5957,3,5,9
No,Current Employees,340,Female,Research Scientist,Married,3920,3,0,2
No,Current Employees,341,Male,Manufacturing Director,Married,6434,3,0,2
Yes,Ex-Employees,342,Male,Manufacturing Director,Divorced,10048,3,0,0
No,Current Employees,343,Female,Healthcare Representative,Single,10938,4,11,8
No,Current Employees,346,Male,Research Scientist,Single,2340,3,1,5
No,Current Employees,347,Female,Research Scientist,Single,6545,3,0,2
No,Current Employees,349,Male,Sales Executive,Divorced,6931,3,0,2
No,Current Employees,350,Female,Manufacturing Director,Married,4898,3,1,2
No,Current Employees,351,Female,Laboratory Technician,Divorced,2593,3,7,8
No,Current Employees,352,Male,Research Director,Divorced,19436,3,3,9
No,Current Employees,353,Male,Research Scientist,Married,2723,3,0,0
Yes,Ex-Employees,355,Male,Laboratory Technician,Single,3479,3,1,4
No,Current Employees,359,Male,Laboratory Technician,Married,2794,4,0,3
No,Current Employees,361,Male,Sales Executive,Married,5249,3,7,5
No,Current Employees,362,Male,Laboratory Technician,Single,2176,3,0,4
No,Current Employees,363,Female,Manager,Married,16872,3,7,7
Yes,Ex-Employees,364,Male,Laboratory Technician,Single,3485,3,0,0
No,Current Employees,366,Male,Sales Executive,Married,6644,3,0,0
No,Current Employees,367,Male,Healthcare Representative,Married,5582,4,7,8
No,Current Employees,369,Male,Healthcare Representative,Divorced,4000,3,1,5
No,Current Employees,372,Male,Healthcare Representative,Married,13496,3,4,10
No,Current Employees,373,Male,Laboratory Technician,Married,3210,3,10,11
No,Current Employees,374,Male,Manager,Single,19045,3,4,13
Yes,Ex-Employees,376,Male,Manager,Married,11849,3,9,9
No,Current Employees,377,Male,Research Scientist,Married,2070,4,0,4
No,Current Employees,378,Male,Sales Executive,Married,6502,3,0,1
No,Current Employees,379,Male,Research Scientist,Single,3230,3,1,0
No,Current Employees,380,Female,Research Director,Divorced,13603,3,0,2
No,Current Employees,381,Female,Manager,Divorced,11996,3,6,2
No,Current Employees,382,Female,Sales Executive,Divorced,5605,4,7,7
No,Current Employees,384,Female,Manufacturing Director,Divorced,6397,4,1,4
No,Current Employees,385,Male,Research Director,Divorced,19144,3,1,6
No,Current Employees,386,Male,Research Director,Married,17584,3,1,3
No,Current Employees,387,Male,Sales Executive,Married,4907,4,11,6
No,Current Employees,388,Male,Sales Executive,Single,4554,3,0,9
No,Current Employees,389,Male,Laboratory Technician,Married,5415,3,0,8
No,Current Employees,390,Male,Healthcare Representative,Married,4741,3,3,3
No,Current Employees,391,Female,Research Scientist,Single,2115,3,5,7
Yes,Ex-Employees,392,Male,Laboratory Technician,Divorced,3161,4,0,0
No,Current Employees,393,Male,Healthcare Representative,Divorced,5745,3,1,2
Yes,Ex-Employees,394,Male,Laboratory Technician,Divorced,2373,3,0,2
No,Current Employees,395,Female,Research Scientist,Single,3310,4,0,2
No,Current Employees,396,Female,Research Director,Single,18665,3,1,2
No,Current Employees,397,Male,Research Scientist,Single,4485,3,7,7
No,Current Employees,399,Female,Sales Representative,Divorced,2789,3,2,2
Yes,Ex-Employees,401,Male,Sales Executive,Single,5828,3,7,4
No,Current Employees,403,Male,Research Scientist,Married,2326,3,1,2
No,Current Employees,404,Female,Sales Executive,Married,13525,3,4,8
Yes,Ex-Employees,405,Male,Laboratory Technician,Single,1420,3,0,0
No,Current Employees,406,Male,Sales Executive,Married,8020,3,6,9
No,Current Employees,407,Male,Laboratory Technician,Married,3688,3,0,0
No,Current Employees,408,Male,Manufacturing Director,Divorced,5482,3,1,2
No,Current Employees,410,Male,Manager,Single,16015,3,0,4
No,Current Employees,411,Female,Sales Representative,Single,1200,3,0,0
No,Current Employees,412,Male,Healthcare Representative,Single,5661,3,0,7
No,Current Employees,416,Male,Sales Executive,Married,6929,3,7,7
No,Current Employees,417,Male,Healthcare Representative,Divorced,9613,3,3,7
No,Current Employees,419,Female,Laboratory Technician,Married,5674,3,0,8
No,Current Employees,420,Male,Sales Executive,Married,5484,3,4,8
No,Current Employees,421,Female,Research Director,Married,12061,3,0,1
No,Current Employees,422,Male,Healthcare Representative,Divorced,5660,3,1,2
No,Current Employees,423,Male,Research Scientist,Married,4821,3,0,3
No,Current Employees,424,Male,Human Resources,Married,6410,3,1,0
No,Current Employees,425,Male,Laboratory Technician,Divorced,5210,3,9,11
No,Current Employees,426,Male,Research Scientist,Divorced,2695,3,2,2
No,Current Employees,428,Female,Manager,Married,11878,3,8,8
No,Current Employees,429,Male,Manager,Married,17068,3,11,10
No,Current Employees,430,Female,Laboratory Technician,Single,2455,3,1,7
No,Current Employees,431,Female,Healthcare Representative,Single,13964,3,0,7
Yes,Ex-Employees,433,Male,Research Scientist,Married,4941,3,7,7
No,Current Employees,434,Female,Research Scientist,Single,2478,3,1,2
No,Current Employees,436,Female,Sales Executive,Married,5228,3,11,9
No,Current Employees,437,Male,Sales Executive,Single,4478,3,0,4
No,Current Employees,438,Male,Sales Executive,Divorced,7547,3,1,7
No,Current Employees,439,Female,Research Scientist,Single,5055,3,0,7
Yes,Ex-Employees,440,Male,Research Scientist,Married,3464,3,2,2
No,Current Employees,441,Female,Research Scientist,Married,5775,3,1,9
No,Current Employees,442,Female,Manufacturing Director,Married,8943,4,8,9
No,Current Employees,444,Male,Manager,Married,19272,3,13,3
Yes,Ex-Employees,445,Female,Sales Executive,Married,5238,3,0,0
No,Current Employees,446,Male,Sales Executive,Single,4682,3,0,1
No,Current Employees,447,Male,Research Director,Married,18300,3,1,1
No,Current Employees,448,Female,Laboratory Technician,Divorced,5257,3,0,0
No,Current Employees,449,Male,Sales Executive,Married,6349,3,1,4
No,Current Employees,450,Female,Research Scientist,Single,4869,3,0,3
No,Current Employees,451,Female,Healthcare Representative,Married,9985,3,0,0
No,Current Employees,452,Male,Research Scientist,Married,3697,3,9,8
No,Current Employees,453,Male,Sales Executive,Married,7457,4,0,2
Yes,Ex-Employees,454,Male,Laboratory Technician,Married,2119,3,0,7
No,Current Employees,455,Male,Laboratory Technician,Single,3983,3,2,2
No,Current Employees,456,Female,Sales Executive,Divorced,6118,3,1,2
No,Current Employees,458,Female,Sales Executive,Married,6214,3,0,7
No,Current Employees,460,Male,Manufacturing Director,Divorced,6347,3,0,4
No,Current Employees,461,Male,Research Director,Divorced,11510,3,2,9
No,Current Employees,462,Female,Manufacturing Director,Single,7143,3,4,10
No,Current Employees,463,Female,Sales Executive,Divorced,8268,3,1,7
No,Current Employees,464,Male,Manufacturing Director,Single,8095,3,0,13
No,Current Employees,465,Male,Research Scientist,Divorced,2904,3,0,2
No,Current Employees,466,Male,Manufacturing Director,Single,6032,3,1,2
No,Current Employees,467,Male,Sales Representative,Single,2976,3,0,0
No,Current Employees,468,Female,Research Director,Single,15992,3,0,0
No,Current Employees,469,Male,Sales Executive,Married,4649,3,0,2
No,Current Employees,470,Male,Human Resources,Divorced,2696,3,1,0
No,Current Employees,471,Female,Laboratory Technician,Married,2370,3,0,7
No,Current Employees,473,Female,Manager,Married,12504,4,0,0
No,Current Employees,474,Male,Research Scientist,Divorced,5974,3,6,7
No,Current Employees,475,Female,Sales Executive,Married,4736,3,2,2
No,Current Employees,476,Male,Sales Executive,Married,5296,3,7,7
No,Current Employees,477,Male,Healthcare Representative,Single,6781,4,0,0
Yes,Ex-Employees,478,Female,Sales Representative,Single,2174,3,1,2
No,Current Employees,479,Female,Sales Executive,Single,6653,3,0,0
No,Current Employees,481,Male,Sales Executive,Married,9699,3,1,12
No,Current Employees,482,Male,Healthcare Representative,Married,6755,3,1,2
No,Current Employees,483,Female,Laboratory Technician,Married,2213,3,1,7
No,Current Employees,484,Male,Sales Representative,Single,2610,4,2,2
Yes,Ex-Employees,485,Female,Sales Representative,Single,2851,3,0,0
No,Current Employees,486,Female,Laboratory Technician,Married,3452,4,0,3
No,Current Employees,487,Female,Manufacturing Director,Married,5258,3,0,0
Yes,Ex-Employees,488,Male,Sales Executive,Single,9355,3,7,7
No,Current Employees,491,Male,Healthcare Representative,Single,10496,3,1,3
Yes,Ex-Employees,492,Male,Sales Executive,Married,6380,3,1,0
No,Current Employees,493,Male,Research Scientist,Single,2657,3,2,2
Yes,Ex-Employees,494,Female,Sales Representative,Single,2716,3,0,0
No,Current Employees,495,Male,Research Scientist,Single,2201,3,1,2
No,Current Employees,496,Male,Healthcare Representative,Single,6540,3,0,0
No,Current Employees,497,Male,Laboratory Technician,Divorced,3816,3,0,4
No,Current Employees,498,Male,Sales Executive,Single,5253,3,0,7
No,Current Employees,499,Male,Healthcare Representative,Single,10965,4,0,0
No,Current Employees,500,Female,Sales Executive,Married,4936,3,0,7
No,Current Employees,501,Female,Research Scientist,Married,2543,3,2,2
Yes,Ex-Employees,502,Male,Sales Executive,Single,5304,3,0,4
No,Current Employees,505,Female,Manager,Single,16659,3,1,2
No,Current Employees,507,Female,Sales Executive,Divorced,4260,3,0,3
No,Current Employees,508,Male,Sales Representative,Married,2476,3,0,0
Yes,Ex-Employees,510,Male,Research Scientist,Single,3102,4,0,4
No,Current Employees,511,Female,Research Scientist,Married,2244,3,1,2
No,Current Employees,513,Male,Sales Executive,Married,7596,3,9,0
Yes,Ex-Employees,514,Male,Research Scientist,Single,2285,4,0,0
No,Current Employees,515,Female,Laboratory Technician,Divorced,3034,3,12,17
No,Current Employees,516,Female,Sales Executive,Divorced,5715,3,1,3
No,Current Employees,517,Female,Laboratory Technician,Divorced,2576,3,1,2
No,Current Employees,518,Male,Manufacturing Director,Single,4197,3,0,1
No,Current Employees,520,Male,Research Director,Divorced,14336,3,3,9
No,Current Employees,521,Female,Laboratory Technician,Married,3448,4,0,0
No,Current Employees,522,Male,Research Director,Married,19406,3,1,2
No,Current Employees,523,Female,Sales Executive,Married,6538,3,1,2
No,Current Employees,524,Female,Manufacturing Director,Married,4306,3,3,12
No,Current Employees,525,Male,Laboratory Technician,Married,2258,4,1,2
No,Current Employees,526,Female,Healthcare Representative,Divorced,4522,3,0,2
No,Current Employees,527,Female,Sales Executive,Single,4487,3,1,3
No,Current Employees,529,Female,Research Scientist,Married,4449,3,10,7
No,Current Employees,530,Male,Laboratory Technician,Married,2218,3,3,2
No,Current Employees,531,Male,Manager,Divorced,19197,3,1,6
No,Current Employees,532,Female,Sales Executive,Married,13212,3,7,7
No,Current Employees,533,Female,Sales Executive,Single,6577,3,4,4
No,Current Employees,534,Male,Sales Executive,Married,8392,3,0,7
No,Current Employees,536,Male,Laboratory Technician,Divorced,4558,3,1,8
Yes,Ex-Employees,538,Male,Laboratory Technician,Married,4031,3,0,2
No,Current Employees,543,Male,Manufacturing Director,Married,7969,3,0,4
No,Current Employees,544,Male,Research Scientist,Married,2654,4,0,2
No,Current Employees,546,Female,Manager,Married,16555,3,1,4
No,Current Employees,547,Female,Research Scientist,Divorced,4556,3,0,2
No,Current Employees,548,Female,Manufacturing Director,Single,6091,4,0,2
No,Current Employees,549,Female,Manager,Married,19566,3,11,10
No,Current Employees,550,Female,Manufacturing Director,Divorced,4810,3,0,8
No,Current Employees,551,Female,Healthcare Representative,Married,4523,3,0,4
