Employee_Number,Age,CF_age_band,Department,Education,Education_Field,Employee_Count,Gender,Job_Role,Marital_Status,Attrition,CF_attrition_label,Monthly_Income,Performance_Rating,Years_Since_Last_Promotion,Years_With_Curr_Manager,Environment_Satisfaction,Job_Involvement,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Monthly_Rate,Total_Working_Years,Years_At_Company,Years_In_Current_Role
133,37,35 - 44,HR,Master's Degree,Human Resources,1,Male,Human Resources,Divorced,1,Ex-Employees,2073,4,0,2,3,3,1,4,3,23648,7,3,2
134,32,25 - 34,R&D,High School,Life Sciences,1,Male,Research Scientist,Single,0,Current Employees,2956,3,0,0,4,3,1,4,3,15178,1,1,0
137,20,Under 25,R&D,Bachelor's Degree,Life Sciences,1,Female,Laboratory Technician,Single,1,Ex-Employees,2926,3,1,0,4,2,4,2,3,19783,1,1,0
138,34,25 - 34,R&D,Master's Degree,Other,1,Female,Research Scientist,Single,0,Current Employees,4809,3,2,10,1,3,3,3,3,12482,16,16,13
139,37,35 - 44,R&D,Associates Degree,Life Sciences,1,Male,Healthcare Representative,Divorced,0,Current Employees,5163,3,0,0,3,2,4,4,4,15850,17,1,0
140,59,Over 55,HR,Master's Degree,Human Resources,1,Female,Manager,Married,0,Current Employees,18844,4,2,2,3,2,4,4,3,21922,30,3,2
141,50,45 - 54,R&D,Bachelor's Degree,Life Sciences,1,Female,Research Director,Married,0,Current Employees,18172,3,0,7,1,3,2,1,2,9755,28,8,3
142,25,25 - 34,Sales,Bachelor's Degree,Marketing,1,Male,Sales Executive,Single,1,Ex-Employees,5744,3,0,3,3,2,3,4,3,26959,6,6,4
143,25,25 - 34,R&D,High School,Medical,1,Male,Research Scientist,Married,0,Current Employees,2889,3,2,1,4,2,4,3,3,26897,2,2,2
144,22,Under 25,R&D,Bachelor's Degree,Medical,1,Female,Laboratory Technician,Single,0,Current Employees,2871,3,0,0,2,3,4,3,3,23785,1,0,0
145,51,45 - 54,R&D,Master's Degree,Medical,1,Female,Healthcare Representative,Single,0,Current Employees,7484,4,12,8,1,2,1,3,2,25796,23,13,12
147,34,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Laboratory Technician,Single,1,Ex-Employees,6074,4,0,6,1,1,3,4,3,22887,9,9,7
148,54,45 - 54,HR,Bachelor's Degree,Human Resources,1,Female,Manager,Single,0,Current Employees,17328,3,4,4,4,4,4,3,3,13871,23,5,3
150,24,Under 25,R&D,High School,Life Sciences,1,Male,Laboratory Technician,Married,0,Current Employees,2774,3,1,2,2,3,3,3,3,13257,6,5,3
151,34,25 - 34,R&D,Master's Degree,Life Sciences,1,Female,Research Scientist,Divorced,0,Current Employees,4505,3,0,0,3,2,2,3,3,15000,12,1,0
152,37,35 - 44,Sales,Bachelor's Degree,Life Sciences,1,Male,Sales Executive,Single,0,Current Employees,7428,3,1,3,3,3,4,1,3,14506,12,5,3
153,34,25 - 34,R&D,Bachelor's Degree,Medical,1,Female,Manager,Single,0,Current Employees,11631,3,5,8,3,2,1,4,3,5615,14,11,10
154,36,35 - 44,Sales,Associates Degree,Technical Degree,1,Female,Sales Executive,Married,0,Current Employees,9738,3,2,8,2,3,4,3,3,22952,10,9,7
155,36,35 - 44,R&D,Associates Degree,Life Sciences,1,Female,Laboratory Technician,Divorced,0,Current Employees,2835,4,0,0,1,3,4,1,3,2561,7,1,0
158,43,35 - 44,Sales,Associates Degree,Life Sciences,1,Male,Manager,Married,0,Current Employees,16959,3,4,12,3,3,4,4,4,19494,25,25,12
159,30,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Divorced,0,Current Employees,2613,4,0,9,1,1,3,3,2,22310,10,10,7
160,33,25 - 34,Sales,Associates Degree,Marketing,1,Male,Sales Executive,Married,0,Current Employees,6146,3,0,7,3,3,2,1,4,15480,8,7,7
161,56,Over 55,R&D,Master's Degree,Life Sciences,1,Female,Research Scientist,Married,1,Ex-Employees,4963,3,4,3,2,3,2,1,3,4510,7,5,4
162,51,45 - 54,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Director,Single,0,Current Employees,19537,3,15,15,1,3,3,3,3,6462,23,20,18
163,31,25 - 34,Sales,Master's Degree,Life Sciences,1,Male,Sales Executive,Married,1,Ex-Employees,6172,3,7,7,2,1,3,2,2,20739,12,7,7
164,26,25 - 34,R&D,Bachelor's Degree,Other,1,Female,Research Scientist,Married,0,Current Employees,2368,3,4,3,3,2,2,3,2,23300,5,5,4
165,58,Over 55,R&D,Master's Degree,Medical,1,Female,Healthcare Representative,Married,1,Ex-Employees,10312,3,15,6,4,3,4,4,2,3465,40,40,10
167,19,Under 25,Sales,High School,Marketing,1,Male,Sales Representative,Single,1,Ex-Employees,1675,3,0,0,4,3,3,4,2,26820,0,0,0
169,22,Under 25,R&D,High School,Technical Degree,1,Male,Laboratory Technician,Married,0,Current Employees,2523,3,2,1,3,3,4,3,3,19299,3,2,1
170,49,45 - 54,R&D,Master's Degree,Medical,1,Female,Manufacturing Director,Married,0,Current Employees,6567,3,5,11,3,3,1,3,2,5549,16,15,11
171,43,35 - 44,R&D,Bachelor's Degree,Medical,1,Female,Research Scientist,Single,0,Current Employees,4739,3,1,2,2,4,3,4,3,16090,18,3,2
174,50,45 - 54,Sales,Bachelor's Degree,Marketing,1,Female,Sales Executive,Single,0,Current Employees,9208,3,2,1,3,3,4,4,3,6645,16,2,2
175,31,25 - 34,Sales,Bachelor's Degree,Life Sciences,1,Female,Sales Executive,Married,1,Ex-Employees,4559,3,2,2,2,1,3,3,3,24788,4,2,2
176,41,35 - 44,Sales,High School,Life Sciences,1,Male,Sales Executive,Divorced,0,Current Employees,8189,3,0,7,3,3,3,3,3,21196,12,9,7
177,26,25 - 34,HR,High School,Life Sciences,1,Female,Human Resources,Married,0,Current Employees,2942,4,5,7,3,3,3,4,3,8916,8,8,7
178,36,35 - 44,R&D,Associates Degree,Medical,1,Male,Manufacturing Director,Divorced,0,Current Employees,4941,4,0,1,2,3,2,4,3,2819,7,3,2
179,51,45 - 54,R&D,Master's Degree,Life Sciences,1,Male,Manufacturing Director,Single,1,Ex-Employees,10650,3,0,3,1,1,4,4,3,25150,18,4,2
182,39,35 - 44,Sales,Master's Degree,Life Sciences,1,Female,Sales Executive,Married,0,Current Employees,5902,3,5,9,4,2,3,3,4,14590,17,15,11
183,25,25 - 34,Sales,Bachelor's Degree,Life Sciences,1,Male,Sales Executive,Married,0,Current Employees,8639,3,2,2,1,2,3,4,3,24835,6,2,2
184,30,25 - 34,HR,Bachelor's Degree,Human Resources,1,Male,Human Resources,Married,0,Current Employees,6347,3,4,7,3,3,4,4,1,13982,12,11,9
190,32,25 - 34,R&D,Bachelor's Degree,Medical,1,Female,Laboratory Technician,Single,1,Ex-Employees,4200,4,0,4,1,3,1,1,4,10224,10,5,4
192,45,45 - 54,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Single,0,Current Employees,3452,3,0,3,3,3,4,2,2,9752,9,6,5
193,38,35 - 44,R&D,Doctoral Degree,Technical Degree,1,Female,Research Scientist,Single,0,Current Employees,4317,4,2,2,4,3,3,2,3,2302,19,3,2
194,30,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Female,Research Scientist,Single,0,Current Employees,2632,3,0,4,1,3,3,3,2,23910,5,5,4
195,32,25 - 34,Sales,Associates Degree,Medical,1,Male,Sales Executive,Divorced,0,Current Employees,4668,3,0,7,4,1,4,4,4,22812,9,8,7
197,30,25 - 34,R&D,Bachelor's Degree,Technical Degree,1,Female,Research Scientist,Divorced,0,Current Employees,3204,3,2,2,4,3,1,4,3,10415,8,3,2
198,30,25 - 34,R&D,High School,Medical,1,Male,Laboratory Technician,Single,0,Current Employees,2720,3,1,2,2,2,4,4,3,11162,6,5,3
199,41,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Manager,Divorced,0,Current Employees,17181,3,7,7,4,2,1,2,2,12888,21,7,6
200,41,35 - 44,R&D,Master's Degree,Life Sciences,1,Male,Laboratory Technician,Married,0,Current Employees,2238,4,1,4,3,3,1,4,3,6961,7,5,0
201,19,Under 25,R&D,High School,Medical,1,Female,Laboratory Technician,Single,0,Current Employees,1483,3,0,0,2,3,2,4,3,16102,1,1,0
202,40,35 - 44,R&D,Bachelor's Degree,Medical,1,Female,Research Scientist,Divorced,0,Current Employees,5605,3,2,13,2,3,2,1,3,8504,20,20,7
204,35,35 - 44,Sales,Doctoral Degree,Marketing,1,Male,Sales Executive,Married,0,Current Employees,7295,3,0,6,3,3,2,1,3,11439,10,10,8
205,53,45 - 54,Sales,Associates Degree,Marketing,1,Male,Sales Representative,Married,0,Current Employees,2306,4,4,5,2,3,3,4,1,16047,13,7,7
206,45,45 - 54,R&D,Bachelor's Degree,Life Sciences,1,Male,Laboratory Technician,Divorced,0,Current Employees,2348,3,0,15,2,3,2,3,1,10901,20,17,9
207,32,25 - 34,Sales,Bachelor's Degree,Marketing,1,Female,Sales Executive,Single,0,Current Employees,8998,3,3,7,2,3,4,4,3,15589,9,9,8
208,29,25 - 34,R&D,High School,Technical Degree,1,Male,Manufacturing Director,Married,0,Current Employees,4319,3,0,9,4,3,3,1,3,26283,10,10,7
211,51,45 - 54,R&D,Master's Degree,Medical,1,Male,Manufacturing Director,Married,0,Current Employees,6132,3,0,0,2,2,3,3,3,13983,10,1,0
214,58,Over 55,R&D,Bachelor's Degree,Medical,1,Female,Research Scientist,Married,0,Current Employees,3346,4,0,0,2,2,2,2,2,11873,9,1,0
215,40,35 - 44,Sales,Master's Degree,Marketing,1,Male,Sales Executive,Married,0,Current Employees,10855,3,2,11,3,2,4,1,2,8552,15,12,11
216,34,25 - 34,Sales,Master's Degree,Marketing,1,Female,Sales Representative,Married,0,Current Employees,2231,3,1,2,3,3,3,4,3,11314,6,4,3
217,22,Under 25,R&D,High School,Medical,1,Male,Research Scientist,Married,0,Current Employees,2323,4,2,2,3,3,4,1,3,11992,2,2,2
218,27,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Divorced,0,Current Employees,2024,3,2,2,4,3,2,4,1,5970,6,2,2
221,28,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Married,0,Current Employees,2713,3,0,2,3,3,4,3,1,6672,5,5,2
223,57,Over 55,R&D,Associates Degree,Life Sciences,1,Male,Healthcare Representative,Divorced,0,Current Employees,9439,3,1,4,3,4,4,2,1,23402,12,5,3
224,27,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Divorced,0,Current Employees,2566,3,0,1,3,2,3,4,2,25326,1,1,1
226,50,45 - 54,R&D,Bachelor's Degree,Life Sciences,1,Female,Manager,Single,0,Current Employees,19926,3,4,4,3,3,2,2,3,17053,21,5,4
227,41,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Divorced,0,Current Employees,2451,3,1,8,1,3,3,1,3,4609,13,9,8
228,30,25 - 34,Sales,Bachelor's Degree,Life Sciences,1,Female,Sales Executive,Married,0,Current Employees,9419,3,7,4,2,3,4,3,3,8053,12,10,9
230,38,35 - 44,Sales,Master's Degree,Life Sciences,1,Female,Sales Executive,Single,0,Current Employees,8686,4,0,7,1,2,4,3,4,12930,12,8,3
231,32,25 - 34,R&D,Doctoral Degree,Life Sciences,1,Male,Research Scientist,Single,0,Current Employees,3038,4,1,4,3,3,3,1,3,12430,8,5,4
233,27,25 - 34,R&D,Bachelor's Degree,Technical Degree,1,Male,Research Scientist,Married,0,Current Employees,3058,3,1,1,3,3,2,4,2,13364,6,5,2
